_step,epoch
15,1
23,2
31,3
47,5
55,6
98,10
114,12
122,13
130,14
173,18
181,19
189,20
197,21
213,23
229,25
237,26
245,27
253,28
285,32
293,33
317,36
325,37
375,42
439,50
447,51
463,53
471,54
487,56
503,58
561,64
569,65
585,67
601,69
609,70
625,72
633,73
657,76
665,77
673,78
689,80
723,83
731,84
803,93
811,94
819,95
843,98
859,100
885,102
917,106
949,110
973,113
981,114
989,115
997,116
1013,118
1029,120
1047,121
1055,122
1111,129
1135,132
1151,134
1167,136
1175,137
1199,140
1225,142
1233,143
1241,144
1249,145
1257,146
1273,148
1281,149
1297,151
1305,152
1313,153
1321,154
1329,155
1337,156
1361,159
1369,160
1387,161
1419,165
1443,168
1451,169
1459,170
1467,171
1483,173
1523,178
1531,179
1565,182
1613,188
1645,192
1653,193
1661,194
1677,196
1693,198
1709,200
1743,203
1767,206
1791,209
1799,210
1807,211
1815,212
1823,213
1831,214
1847,216
1871,219
1905,222
1913,223
1921,224
1937,226
1961,229
1969,230
1977,231
1985,232
1993,233
2009,235
2017,236
2041,239
2067,241
2083,243
2147,251
2179,255
2187,256
2203,258
2211,259
2237,261
2245,262
2253,263
2277,266
2301,269
2317,271
2325,272
2349,275
2373,278
2381,279
2389,280
2407,281
2415,282
2471,289
2487,291
2527,296
2535,297
2559,300
2577,301
2609,305
2617,306
2633,308
2641,309
2649,310
2665,312
2681,314
2689,315
2697,316
2705,317
2713,318
2721,319
2747,321
2755,322
2771,324
2855,332
2863,333
2871,334
2879,335
2913,338
2963,343
2997,346
3005,347
3013,348
3021,349
3029,350
3047,351
3055,352
3063,353
3079,355
3113,358
3147,361
3155,362
3171,364
3205,367
3229,370
3247,371
3263,373
3279,375
3305,377
3313,378
3329,380
3347,381
3363,383
3371,384
3379,385
3397,386
3421,389
3463,393
3471,394
3521,399
3540,400
3558,401
3574,403
3582,404
3598,406
3606,407
3614,408
3630,410
3638,411
3646,412
3654,413
3670,415
3678,416
3686,417
3694,418
3744,423
3784,428
3792,429
3808,431
3840,435
3864,438
3880,440
3914,443
3946,447
3962,449
3994,453
4002,454
4010,455
4050,460
4076,462
4124,468
4140,470
4148,471
4164,473
4180,475
4188,476
4204,478
4220,480
4262,484
4288,486
4296,487
4338,491
4346,492
4362,494
4404,498
4420,500
4438,501
4496,507
4562,514
4588,516
4596,517
4620,520
4638,521
4688,526
4696,527
4704,528
4738,531
4754,533
4770,535
4796,537
4838,541
4846,542
4854,543
4888,546
4896,547
4904,548
4912,549
4954,553
4962,554
4988,556
5038,561
5046,562
5054,563
5062,564
5088,566
5104,568
5120,570
5146,572
5154,573
5162,574
5170,575
5188,576
5196,577
5204,578
5212,579
5220,580
5238,581
5254,583
5262,584
5288,586
5304,588
5312,589
5346,592
5354,593
5370,595
5388,596
5396,597
5404,598
5412,599
5465,603
5473,604
5497,607
5505,608
5529,611
5545,613
5553,614
5561,615
5569,616
5627,622
5635,623
5651,625
5659,626
5667,627
5683,629
5715,633
5723,634
5731,635
5747,637
5755,638
5805,643
5821,645
5837,647
5845,648
5861,650
5877,652
5893,654
5901,655
5925,658
5941,660
5959,661
5967,662
5975,663
5999,666
6023,669
6031,670
6039,671
6047,672
6055,673
6063,674
6071,675
6095,678
6103,679
6153,684
6169,686
6217,692
6249,696
6257,697
6281,700
6299,701
6331,705
6339,706
6355,708
6379,711
6387,712
6395,713
6403,714
6411,715
6419,716
6451,720
6469,721
6509,726
6525,728
6565,733
6597,737
6613,739
6621,740
6639,741
6679,746
6695,748
6719,751
6735,753
6759,756
6767,757
6775,758
6791,760
6833,764
6841,765
6849,766
6865,768
6881,770
6889,771
6913,774
6921,775
6937,777
6953,779
6961,780
6979,781
6987,782
7035,788
7067,792
7075,793
7115,798
7131,800
7157,802
7165,803
7207,807
7231,810
7257,812
7281,815
7299,816
7307,817
7349,821
7357,822
7373,824
7381,825
7407,827
7415,828
7431,830
7465,833
7499,836
7515,838
7523,839
7615,848
7623,849
7631,850
7649,851
7657,852
7681,855
7707,857
7715,858
7723,859
7731,860
7749,861
7757,862
7773,864
7815,868
7831,870
7849,871
7865,873
7881,875
7907,877
7923,879
7965,883
7973,884
7981,885
7999,886
8015,888
8023,889
8057,892
8065,893
8073,894
8099,896
8107,897
8115,898
8123,899
8149,901
8173,904
8207,907
8215,908
8231,910
8273,914
8299,916
8307,917
8315,918
8323,919
8331,920
8357,922
8373,924
8381,925
8399,926
8407,927
8415,928
8449,931
8457,932
8473,934
8481,935
8499,936
8507,937
8515,938
8523,939
8531,940
8549,941
8565,943
8573,944
8607,947
8623,949
8657,952
8665,953
8681,955
8699,956
8707,957
8715,958
8723,959
8731,960
8749,961
8765,963
8773,964
8799,966
8807,967
8815,968
8831,970
8849,971
8857,972
8865,973
8881,975
8923,979
8965,983
8999,986
9007,987
9023,989
9049,991
9073,994
9081,995
9115,998
9123,999
