_step,x/lr1
4,3.326935380678183e-05
12,6.498910221140827e-05
28,7.959536998847744e-05
52,5.0500000000000015e-05
68,2.1404630011522596e-05
76,1.04536587784401e-05
95,0.0001
119,1.04536587784401e-05
127,5.27949984669125e-06
146,0.0001
154,9.965688861926885e-05
162,9.960967771506666e-05
178,9.950617105696959e-05
194,9.939057285945931e-05
210,9.926291164466132e-05
218,9.919456713300203e-05
242,9.897152912577741e-05
250,9.889119691935715e-05
266,9.872158265500755e-05
290,9.844486647586725e-05
306,9.824559221366101e-05
314,9.814153420445554e-05
322,9.803453744100869e-05
330,9.79246085233848e-05
338,9.781175423251735e-05
346,9.769598152979056e-05
364,9.757729755661011e-05
372,9.745570963396248e-05
380,9.73312252619635e-05
396,9.707359806323416e-05
460,9.592885397135707e-05
468,9.577305441003138e-05
484,9.545308710434153e-05
492,9.528893909706797e-05
500,9.512202829705616e-05
508,9.495236500015047e-05
534,9.460482294732421e-05
542,9.442696562943453e-05
550,9.424639868939033e-05
566,9.387718066217125e-05
574,9.368855235010347e-05
590,9.330331530574768e-05
606,9.290751718381996e-05
614,9.270568813552756e-05
646,9.187246438772938e-05
654,9.1657745808976e-05
662,9.14404884265908e-05
670,9.122070564203257e-05
678,9.099841101253866e-05
704,9.05463412215599e-05
712,9.031659394586919e-05
744,8.937318807859689e-05
760,8.888703928702562e-05
768,8.864040551740156e-05
776,8.839141906790787e-05
792,8.788644970811659e-05
824,8.684896421706644e-05
832,8.658394705735988e-05
848,8.604725173927786e-05
874,8.55017856687341e-05
890,8.494768343131955e-05
906,8.438508174347008e-05
922,8.381411941873378e-05
930,8.352554696177769e-05
938,8.323493733352077e-05
946,8.294230846013381e-05
986,8.144951148861741e-05
994,8.114515049083679e-05
1002,8.083889915582235e-05
1010,8.0530776374599e-05
1026,7.990899261365091e-05
1044,7.959536998847744e-05
1052,7.927995262383162e-05
1060,7.896275997614229e-05
1084,7.800072653447032e-05
1124,7.636367895343948e-05
1164,7.468675145409927e-05
1188,7.366252580589839e-05
1222,7.26254417232205e-05
1230,7.227698890786781e-05
1238,7.19271927852605e-05
1246,7.15760749324711e-05
1254,7.12236570081027e-05
1270,7.051500797867287e-05
1286,6.980142054551533e-05
1294,6.944282990207195e-05
1302,6.908307077565152e-05
1310,6.872216535789157e-05
1318,6.836013591113826e-05
1326,6.799700476707323e-05
1334,6.763279432533591e-05
1358,6.65339122008084e-05
1366,6.616560987548852e-05
1432,6.356171597328594e-05
1440,6.318632397008333e-05
1448,6.281014941466031e-05
1456,6.243321551123542e-05
1472,6.167716271002064e-05
1480,6.129809044912887e-05
1488,6.091835211115464e-05
1496,6.0537971120147384e-05
1512,5.977537507199338e-05
1520,5.9393207055363034e-05
1554,5.8243506019491436e-05
1594,5.631810117416297e-05
1610,5.5545260561854974e-05
1642,5.399603580359276e-05
1682,5.2054832574367366e-05
1698,5.127751220693513e-05
1706,5.088876809399121e-05
1732,5.0111231906008796e-05
1740,4.972248779306489e-05
1748,4.9333791640736305e-05
1764,4.855663911992612e-05
1788,4.739186928329898e-05
1804,4.661627476147168e-05
1828,4.545473943814502e-05
1852,4.4296004938566934e-05
1868,4.352538901908967e-05
1876,4.314071452210231e-05
1894,4.2756493980508586e-05
1902,4.237275109484129e-05
1942,4.0462028879852645e-05
1958,3.970190955087116e-05
1966,3.932283728997939e-05
1982,3.856678448876458e-05
1990,3.8189850585339694e-05
1998,3.781367602991667e-05
2014,3.7063697731678824e-05
2022,3.6689940251058165e-05
2030,3.631703463997399e-05
2046,3.557387098274748e-05
2072,3.4834390124511484e-05
2096,3.3732472947858084e-05
2104,3.33672056746641e-05
2112,3.300299523292678e-05
2152,3.1198579454484675e-05
2160,3.084117941357836e-05
2176,3.0130039249047125e-05
2184,2.97763429918973e-05
2200,2.9072807214739504e-05
2208,2.87230110921322e-05
2282,2.597479591259583e-05
2298,2.530244992035662e-05
2306,2.4968598034890156e-05
2322,2.4305639451777572e-05
2330,2.3976573648539646e-05
2370,2.235618838865393e-05
2386,2.1720047376168396e-05
2412,2.1091007386349092e-05
2428,2.0469223625401013e-05
2444,1.985484950916321e-05
2468,1.8947512507439858e-05
2476,1.8648934695677944e-05
2484,1.8352321607655922e-05
2492,1.8057691539866207e-05
2500,1.7765062666479238e-05
2508,1.7474453038222326e-05
2516,1.7185880581266222e-05
2532,1.661491825652991e-05
2540,1.6332563608395355e-05
2548,1.6052316568680447e-05
2574,1.5498214331265904e-05
2590,1.4952748260722172e-05
2598,1.468329593017177e-05
2622,1.3888260798558816e-05
2638,1.3369502053292249e-05
2654,1.2859904702798464e-05
2670,1.2359594482598446e-05
2678,1.2112960712974408e-05
2686,1.186869483675268e-05
2744,1.04536587784401e-05
2768,9.77929435796744e-06
2818,8.705767687650268e-06
2826,8.498744358415579e-06
2844,8.294311864472449e-06
2852,8.092482816180047e-06
2860,7.893269663304792e-06
2876,7.50274003530953e-06
2902,7.1228193378287565e-06
2910,6.936866734588987e-06
2926,6.573034370565501e-06
2952,6.220040328017774e-06
2968,5.87797170294383e-06
2976,5.711060902932041e-06
2994,5.546912895658473e-06
3002,5.38553780654546e-06
3026,4.9181487330192014e-06
3044,4.7679631406913225e-06
3052,4.620598515814023e-06
3060,4.476063948531562e-06
3068,4.33436835441684e-06
3076,4.195520473921555e-06
3118,3.6687747380365067e-06
3160,3.1882457674826672e-06
3194,2.8584657955444626e-06
3202,2.7544077863390083e-06
3260,2.1921202840320065e-06
3268,2.1088030806428626e-06
3294,1.9511286200400993e-06
3310,1.8054328669979803e-06
3352,1.5501183121470309e-06
3360,1.4938289430304064e-06
3376,1.390322284933354e-06
3410,1.2577889827945388e-06
3418,1.219682752147544e-06
3426,1.1846163635994111e-06
3444,1.1525919802101604e-06
3468,1.0747896761983623e-06
3537,0.0001
3555,2.5749999999999996e-05
3563,2.5525882621156548e-05
3571,2.530244992035662e-05
3579,2.5079708023120596e-05
3587,2.4857663036030064e-05
3595,2.463632104656054e-05
3603,2.441568812291447e-05
3611,2.4195770313854893e-05
3619,2.397657364853967e-05
3627,2.3758104136356085e-05
3635,2.3540367766756178e-05
3667,2.267687279631955e-05
3691,2.203724002385771e-05
3707,2.1614710037872187e-05
3725,2.1404630011522596e-05
3765,2.036630926406834e-05
3773,2.0161100844177683e-05
3789,1.975318487622364e-05
3797,1.9550488511382592e-05
3813,1.914764680493627e-05
3853,1.8155680102489792e-05
3877,1.7571097444609143e-05
3895,1.7378034985236525e-05
3903,1.7185880581266232e-05
3911,1.69946395007083e-05
3919,1.6804316986533576e-05
3951,1.6052316568680458e-05
3959,1.5866664644588403e-05
3967,1.5681962210880053e-05
3999,1.4952748260722172e-05
4007,1.4772868709131072e-05
4023,1.4416052942640146e-05
4031,1.4239126510024746e-05
4047,1.3888260798558816e-05
4073,1.3541409976873142e-05
4113,1.26920965825852e-05
4121,1.2525324985142683e-05
4129,1.2359594482598446e-05
4145,1.2031274907879942e-05
4153,1.186869483675268e-05
4161,1.1707173862370935e-05
4193,1.1071769057802284e-05
4201,1.0915609404889015e-05
4217,1.060655002869848e-05
4243,1.0301865418855595e-05
4285,9.705753663210237e-06
4293,9.559511573409185e-06
4301,9.414391887779318e-06
4309,9.270398584850082e-06
4343,8.845216293707348e-06
4359,8.567464891584209e-06
4367,8.43031169715025e-06
4385,8.294311864472437e-06
4393,8.159469122054919e-06
4401,8.025787166679589e-06
4417,7.761920244964804e-06
4459,7.2482749597444725e-06
4485,6.998552923232715e-06
4501,6.75360131060967e-06
4517,6.513446983580041e-06
4535,6.395177052675794e-06
4551,6.162267868149075e-06
4567,5.934220815591418e-06
4585,5.822028424681891e-06
4593,5.711060902932041e-06
4609,5.492812602170105e-06
4685,4.7679631406913115e-06
4735,4.287768888388522e-06
4743,4.195520473921566e-06
4759,4.014834521311906e-06
4809,3.5854637045255156e-06
4817,3.5034388567257604e-06
4835,3.4227024433898913e-06
4843,3.343256677947482e-06
4851,3.2651037384442973e-06
4893,2.9654625589913167e-06
4917,2.7544077863390083e-06
4935,2.686671598691126e-06
4943,2.6202462375940926e-06
4951,2.555133524132758e-06
5001,2.249320887534523e-06
5009,2.1921202840320065e-06
5035,2.081693763676618e-06
5043,2.0284708742225987e-06
5059,1.926013132383875e-06
5085,1.8288820755842485e-06
5101,1.7370883553386896e-06
5143,1.5695526029701701e-06
