_step,epoch
15,1
23,2
71,8
79,9
87,10
111,13
135,16
143,17
183,22
199,24
207,25
223,27
255,31
263,32
271,33
287,35
295,36
303,37
311,38
327,40
353,42
369,44
377,45
393,47
417,50
425,51
457,55
473,57
481,58
489,59
497,60
523,62
531,63
539,64
547,65
571,68
587,70
595,71
611,73
619,74
627,75
635,76
651,78
659,79
685,81
701,83
717,85
741,88
757,90
781,93
797,95
805,96
813,97
829,99
837,100
855,101
863,102
887,105
895,106
927,110
935,111
943,112
951,113
975,116
983,117
1007,120
1033,122
1041,123
1049,124
1057,125
1081,128
1097,130
1137,135
1145,136
1169,139
1177,140
1203,142
1211,143
1219,144
1235,146
1243,147
1259,149
1267,150
1275,151
1307,155
1315,156
1323,157
1331,158
1347,160
1373,162
1381,163
1389,164
1397,165
1405,166
1413,167
1421,168
1461,173
1477,175
1485,176
1493,177
1535,181
1543,182
1559,184
1575,186
1607,190
1615,191
1631,193
1639,194
1647,195
1655,196
1671,198
1679,199
1687,200
1713,202
1753,207
1769,209
1785,211
1809,214
1817,215
1849,219
1857,220
1883,222
1915,226
1923,227
1931,228
1947,230
1955,231
1971,233
2011,238
2027,240
2069,244
2077,245
2085,246
2109,249
2125,251
2133,252
2149,254
2157,255
2173,257
2189,259
2197,260
2231,263
2239,264
2247,265
2263,267
2279,269
2287,270
2311,273
2319,274
2327,275
2335,276
2351,278
2367,280
2385,281
2401,283
2409,284
2489,294
2497,295
2513,297
2537,300
2555,301
2571,303
2611,308
2619,309
2651,313
2667,315
2707,320
2725,321
2733,322
2741,323
2749,324
2781,328
2789,329
2821,333
2829,334
2837,335
2861,338
2869,339
2877,340
2895,341
2935,346
2951,348
2959,349
2967,350
2975,351
2991,353
2999,354
3023,357
3031,358
3081,363
3089,364
3121,368
3129,369
3137,370
3153,372
3169,374
3177,375
3201,378
3209,379
3251,383
3267,385
3291,388
3323,392
3347,395
3355,396
3363,397
3387,400
3413,402
3471,408
3479,409
3487,410
3505,411
3521,413
3529,414
3537,415
3563,417
3587,420
3605,421
3613,422
3629,424
3671,428
3713,432
3729,434
3755,436
3763,437
3787,440
3837,445
3879,449
3905,451
3921,453
3937,455
3955,456
3963,457
3971,458
4013,462
4021,463
4037,465
4055,466
4063,467
4071,468
4105,471
4129,474
4137,475
4155,476
4163,477
4205,481
4237,485
4255,486
4271,488
4279,489
4287,490
4313,492
4321,493
4329,494
4337,495
4355,496
4448,505
4464,507
4480,509
4512,513
4536,516
4544,517
4610,524
4618,525
4634,527
4642,528
4658,530
4666,531
4756,541
4772,543
4780,544
4788,545
4812,548
4844,552
4852,553
4868,555
4876,556
4884,557
4892,558
4934,562
4958,565
4966,566
4990,569
4998,570
5006,571
5014,572
5038,575
5046,576
5054,577
5062,578
5070,579
5096,581
5104,582
5112,583
5120,584
5128,585
5152,588
5184,592
5208,595
5224,597
5240,599
5266,601
5274,602
5306,606
5314,607
5322,608
5330,609
5354,612
5362,613
5370,614
5386,616
5394,617
5402,618
5418,620
5444,622
5460,624
5484,627
5508,630
5516,631
5564,637
5572,638
5606,641
5630,644
5638,645
5662,648
5694,652
5702,653
5718,655
5726,656
5742,658
5758,660
5784,662
5808,665
5816,666
5832,668
5840,669
5848,670
5864,672
5880,674
5888,675
5896,676
5904,677
5970,684
5978,685
5986,686
6026,691
6058,695
6074,697
6082,698
6090,699
6116,701
6124,702
6132,703
6156,706
6164,707
6188,710
6204,712
6212,713
6220,714
6228,715
6236,716
6252,718
6286,721
6326,726
6342,728
6350,729
6366,731
6374,732
6382,733
6390,734
6422,738
6438,740
6456,741
6472,743
6480,744
6520,749
6528,750
6544,752
6560,754
6600,759
6608,760
6634,762
6642,763
6650,764
6658,765
6706,771
6762,778
6804,782
6812,783
6820,784
6828,785
6844,787
6852,788
6860,789
6868,790
6876,791
6892,793
6908,795
6916,796
6924,797
6932,798
6940,799
6974,802
6998,805
7016,806
7032,808
7040,809
7048,810
7074,812
7116,816
7124,817
7132,818
7148,820
7166,821
7190,824
7224,827
7232,828
7240,829
7290,834
7316,836
7340,839
7366,841
7390,844
7416,846
7474,852
7482,853
7516,856
7532,858
7540,859
7582,863
7640,869
7648,870
7674,872
7716,876
7724,877
7732,878
7748,880
7766,881
7774,882
7848,890
7874,892
7882,893
7890,894
7916,896
7982,903
7990,904
8016,906
8040,909
8066,911
8074,912
8090,914
8140,919
8148,920
8174,922
8182,923
8198,925
8216,926
8224,927
8232,928
8248,930
8266,931
8274,932
8282,933
8290,934
8298,935
8324,937
8340,939
8348,940
8366,941
8374,942
8416,946
8432,948
8440,949
8448,950
8466,951
8482,953
8490,954
8516,956
8524,957
8532,958
8540,959
8548,960
8566,961
8574,962
8598,965
8632,968
8640,969
8682,973
8690,974
8698,975
8716,976
8732,978
8740,979
8774,982
8782,983
8798,985
8816,986
8824,987
8924,997
8940,999
