_step,train/cls_loss
2,0
18,0
26,0
58,0
66,0
74,0
82,0
98,0
122,0
138,0
146,0
170,0
194,0
202,0
210,0
218,0
234,0
250,0
258,0
266,0
290,0
298,0
306,0
314,0
322,0
340,0
356,0
372,0
380,0
396,0
404,0
412,0
420,0
444,0
452,0
460,0
468,0
476,0
484,0
492,0
510,0
542,0
558,0
566,0
606,0
614,0
638,0
646,0
654,0
712,0
720,0
736,0
744,0
768,0
784,0
800,0
808,0
824,0
832,0
858,0
866,0
874,0
890,0
922,0
930,0
954,0
962,0
978,0
994,0
1002,0
1020,0
1028,0
1044,0
1060,0
1068,0
1092,0
1116,0
1132,0
1156,0
1164,0
1190,0
1206,0
1214,0
1222,0
1230,0
1246,0
1262,0
1278,0
1302,0
1310,0
1318,0
1326,0
1342,0
1360,0
1392,0
1400,0
1432,0
1448,0
1504,0
1538,0
1554,0
1562,0
1570,0
1578,0
1594,0
1602,0
1610,0
1634,0
1642,0
1666,0
1674,0
1682,0
1724,0
1772,0
1780,0
1788,0
1796,0
1820,0
1828,0
1836,0
1870,0
1878,0
1886,0
1894,0
1902,0
1910,0
1918,0
1982,0
1990,0
2006,0
2014,0
2022,0
2040,0
2048,0
2056,0
2064,0
2072,0
2080,0
2088,0
2096,0
2104,0
2112,0
2120,0
2128,0
2136,0
2160,0
2176,0
2192,0
2210,0
2226,0
2250,0
2266,0
2298,0
2354,0
2362,0
2380,0
2388,0
2396,0
2444,0
2452,0
2460,0
2476,0
2484,0
2492,0
2516,0
2524,0
2558,0
2566,0
2574,0
2590,0
2598,0
2606,0
2622,0
2646,0
2670,0
2720,0
2752,0
2760,0
2768,0
2776,0
2792,0
2800,0
2808,0
2816,0
2832,0
2840,0
2856,0
2890,0
2930,0
2938,0
2946,0
2954,0
2970,0
2978,0
3060,0
3068,0
3084,0
3092,0
3108,0
3116,0
3124,0
3140,0
3148,0
3180,0
3204,0
3262,0
3278,0
3294,0
3318,0
3326,0
3342,0
3358,0
3374,0
3400,0
3408,0
3416,0
3432,0
3450,0
3458,0
3466,0
3474,0
3482,0
3500,0
3516,0
3524,0
3574,0
3582,0
3600,0
3632,0
3650,0
3666,0
3674,0
3682,0
3700,0
3716,0
3750,0
3758,0
3766,0
3782,0
3824,0
3832,0
3874,0
3900,0
3924,0
3950,0
3958,0
3966,0
3974,0
3982,0
4000,0
4016,0
4032,0
4058,0
4074,0
4082,0
4100,0
4108,0
4116,0
4124,0
4132,0
4150,0
4200,0
4208,0
4216,0
4232,0
4250,0
4266,0
4308,0
4316,0
4324,0
4419,0
4451,0
4475,0
4483,0
4507,0
4515,0
4523,0
4531,0
4539,0
4547,0
4597,0
4629,0
4645,0
4661,0
4669,0
4677,0
4685,0
4701,0
4717,0
4725,0
4733,0
4759,0
4767,0
4775,0
4799,0
4815,0
4847,0
4855,0
4863,0
4903,0
4921,0
4961,0
4977,0
4993,0
5001,0
5009,0
5025,0
5033,0
5041,0
5073,0
5099,0
5107,0
5131,0
5139,0
5147,0
5155,0
5171,0
5187,0
5195,0
5219,0
5227,0
5235,0
5243,0
5261,0
5277,0
5285,0
5301,0
5373,0
5413,0
5431,0
5463,0
5471,0
5479,0
5495,0
5511,0
5551,0
5575,0
5601,0
5633,0
5641,0
5649,0
5657,0
5665,0
5673,0
5713,0
5729,0
5771,0
5803,0
5875,0
5899,0
5973,0
5989,0
6013,0
6029,0
6045,0
6053,0
6061,0
6077,0
6119,0
6135,0
6151,0
6167,0
6175,0
6183,0
6191,0
6199,0
6215,0
6239,0
6247,0
6263,0
6281,0
6305,0
6337,0
6353,0
6369,0
6377,0
6401,0
6409,0
6417,0
6425,0
6459,0
6467,0
6475,0
6483,0
6491,0
6507,0
6531,0
6547,0
6555,0
6571,0
6579,0
6587,0
6603,0
6637,0
6653,0
6669,0
6685,0
6701,0
6709,0
6717,0
6725,0
6741,0
6749,0
6757,0
6765,0
6773,0
6791,0
6831,0
6839,0
6855,0
6871,0
6887,0
6903,0
6919,0
6935,0
6969,0
6977,0
6985,0
6993,0
7043,0
7061,0
7085,0
7119,0
7143,0
7161,0
7169,0
7177,0
7185,0
7235,0
7243,0
7261,0
7269,0
7285,0
7327,0
7361,0
7369,0
7435,0
7461,0
7477,0
7543,0
7561,0
7577,0
7585,0
7619,0
7627,0
7635,0
7661,0
7677,0
7685,0
7735,0
7743,0
7769,0
7793,0
7811,0
7869,0
7911,0
7935,0
7969,0
7985,0
8019,0
8027,0
8035,0
8043,0
8077,0
8127,0
8135,0
8143,0
8169,0
8177,0
8185,0
8227,0
8269,0
8277,0
8327,0
8385,0
8411,0
8419,0
8477,0
8511,0
8519,0
8535,0
8543,0
8561,0
8569,0
8585,0
8611,0
8627,0
8677,0
8685,0
8727,0
8735,0
8743,0
8793,0
8811,0
8835,0
8843,0
8869,0
8877,0
8885,0
8935,0
