_step,x/lr2
5,0.06676391554702496
13,0.03346230196209625
21,0.00015446793665264968
29,7.959536998847744e-05
37,7.959536998847744e-05
45,6.579634122155991e-05
53,5.0500000000000015e-05
61,3.5203658778440106e-05
69,2.1404630011522596e-05
77,1.04536587784401e-05
96,0.0001
104,2.5750000000000006e-05
112,1.7378034985236535e-05
120,1.04536587784401e-05
128,5.27949984669125e-06
147,0.0001
155,9.965688861926885e-05
163,9.960967771506666e-05
171,9.955943749461576e-05
179,9.950617105696959e-05
187,9.944988168785299e-05
195,9.939057285945931e-05
203,9.932824823023653e-05
211,9.926291164466132e-05
219,9.919456713300203e-05
227,9.912321891107009e-05
235,9.90488713799599e-05
243,9.897152912577741e-05
251,9.889119691935715e-05
259,9.8807879715968e-05
267,9.872158265500755e-05
275,9.8632311059685e-05
283,9.854007043669286e-05
291,9.844486647586725e-05
299,9.834670504983692e-05
307,9.824559221366101e-05
315,9.814153420445554e-05
323,9.803453744100869e-05
331,9.79246085233848e-05
339,9.781175423251735e-05
347,9.769598152979056e-05
365,9.757729755661011e-05
373,9.745570963396248e-05
381,9.73312252619635e-05
389,9.720385211939559e-05
397,9.707359806323416e-05
405,9.694047112816297e-05
413,9.680447952607844e-05
421,9.666563164558317e-05
429,9.652393605146846e-05
437,9.637940148418598e-05
445,9.623203685930869e-05
453,9.60818512669808e-05
461,9.592885397135707e-05
469,9.577305441003138e-05
477,9.561446219345454e-05
485,9.545308710434153e-05
493,9.528893909706797e-05
501,9.512202829705616e-05
509,9.495236500015047e-05
517,9.477995967198224e-05
535,9.460482294732421e-05
543,9.442696562943453e-05
551,9.424639868939033e-05
559,9.406313326541105e-05
567,9.387718066217125e-05
575,9.368855235010347e-05
583,9.349725996469047e-05
591,9.330331530574768e-05
599,9.310673033669521e-05
607,9.290751718381996e-05
615,9.270568813552756e-05
623,9.250125564158444e-05
631,9.229423231234974e-05
639,9.208463091799762e-05
647,9.187246438772938e-05
655,9.1657745808976e-05
663,9.14404884265908e-05
671,9.122070564203257e-05
679,9.099841101253866e-05
687,9.077361825028896e-05
705,9.05463412215599e-05
713,9.031659394586919e-05
721,9.008439059511098e-05
729,8.984974549268175e-05
737,8.961267311259668e-05
745,8.937318807859689e-05
753,8.913130516324733e-05
761,8.888703928702562e-05
769,8.864040551740156e-05
777,8.839141906790787e-05
785,8.814009529720153e-05
793,8.788644970811659e-05
801,8.763049794670775e-05
809,8.73722558012853e-05
817,8.711173920144117e-05
825,8.684896421706644e-05
833,8.658394705735988e-05
841,8.631670406982824e-05
849,8.604725173927786e-05
857,8.577560668679767e-05
875,8.55017856687341e-05
883,8.522580557565737e-05
891,8.494768343131955e-05
899,8.466743639160465e-05
907,8.438508174347008e-05
915,8.410063690388063e-05
923,8.381411941873378e-05
931,8.352554696177769e-05
939,8.323493733352077e-05
947,8.294230846013381e-05
955,8.26476783923441e-05
963,8.235106530432206e-05
971,8.205248749256015e-05
979,8.17519633747442e-05
987,8.144951148861741e-05
995,8.114515049083679e-05
1003,8.083889915582235e-05
1011,8.0530776374599e-05
1019,8.022080115363127e-05
1027,7.990899261365091e-05
1045,7.959536998847744e-05
1053,7.927995262383162e-05
1061,7.896275997614229e-05
1069,7.864381161134607e-05
1077,7.832312720368047e-05
1085,7.800072653447032e-05
1093,7.767662949090753e-05
1101,7.735085606482438e-05
1109,7.702342635146033e-05
1117,7.669436054822243e-05
1125,7.636367895343948e-05
1133,7.603140196510986e-05
1141,7.569755007964338e-05
1149,7.536214389059695e-05
1157,7.502520408740418e-05
1165,7.468675145409927e-05
1173,7.43468068680349e-05
1181,7.400539129859443e-05
1189,7.366252580589839e-05
1197,7.331823153950539e-05
1215,7.297252973710758e-05
1223,7.26254417232205e-05
1231,7.227698890786781e-05
1239,7.19271927852605e-05
1247,7.15760749324711e-05
1255,7.12236570081027e-05
1263,7.086996075095289e-05
1271,7.051500797867287e-05
1279,7.015882058642164e-05
1287,6.980142054551533e-05
1295,6.944282990207195e-05
1303,6.908307077565152e-05
1311,6.872216535789157e-05
1319,6.836013591113826e-05
1327,6.799700476707323e-05
1335,6.763279432533591e-05
1343,6.726752705214194e-05
1351,6.690122547889727e-05
1359,6.65339122008084e-05
1367,6.616560987548852e-05
1385,6.579634122155991e-05
1393,6.542612901725255e-05
1401,6.505499609899905e-05
1409,6.468296536002602e-05
1417,6.431005974894186e-05
1425,6.393630226832119e-05
1433,6.356171597328594e-05
1441,6.318632397008333e-05
1449,6.281014941466031e-05
1457,6.243321551123542e-05
1465,6.205554551086731e-05
1473,6.167716271002064e-05
1481,6.129809044912887e-05
1489,6.091835211115464e-05
1497,6.0537971120147384e-05
1505,6.015697093979836e-05
1513,5.977537507199338e-05
1521,5.9393207055363034e-05
1529,5.901049046383078e-05
1537,5.862724890515872e-05
1555,5.8243506019491436e-05
1563,5.78592854778977e-05
1571,5.747461098091036e-05
1579,5.7089506257064355e-05
1587,5.670399506143307e-05
1595,5.631810117416297e-05
1603,5.5931848399006745e-05
1611,5.5545260561854974e-05
1619,5.5158361509266454e-05
1627,5.477117510699721e-05
1635,5.438372523852833e-05
1643,5.399603580359276e-05
1651,5.360813071670102e-05
1659,5.322003390566608e-05
1667,5.2831769310127324e-05
1675,5.24433608800739e-05
1683,5.2054832574367366e-05
1691,5.166620835926371e-05
